No of Employee,21,,
No of Buses,20,,
,,,
EMPLOYEE ID,DROP LOCATION,START TIME,END TIME
E100,"Devegowda petrol bunk, Gowdanapalya, Uttarahalli Hobli, Bengaluru, Karnataka, India",0,120
E101,"RNSIT, Channasandra, RR Nagar, Bengaluru, Karnataka, India",0,120
E102,"Kathriguppe Circle, Phase 3, Banashankari, Bengaluru, Karnataka",0,120
E103,"PES College Road, Phase 1, Banashankari Stage I, Banashankari, Bengaluru, Karnataka, India",0,120
E104,"Devegowda petrol bunk, Gowdanapalya, Uttarahalli Hobli, Bengaluru, Karnataka, India",0,120
E105,"RNSIT, Channasandra, RR Nagar, Bengaluru, Karnataka, India",0,120
E106,"Kathriguppe Circle, Phase 3, Banashankari, Bengaluru, Karnataka",0,120
E107,"PES College Road, Phase 1, Banashankari Stage I, Banashankari, Bengaluru, Karnataka, India",0,120
E108,"Devegowda petrol bunk, Gowdanapalya, Uttarahalli Hobli, Bengaluru, Karnataka, India",0,120
E109,"RNSIT, Channasandra, RR Nagar, Bengaluru, Karnataka, India",0,120
E110,"Kathriguppe Circle, Phase 3, Banashankari, Bengaluru, Karnataka",0,120
E111,"PES College Road, Phase 1, Banashankari Stage I, Banashankari, Bengaluru, Karnataka, India",0,120
E112,"Devegowda petrol bunk, Gowdanapalya, Uttarahalli Hobli, Bengaluru, Karnataka, India",0,120
E113,"RNSIT, Channasandra, RR Nagar, Bengaluru, Karnataka, India",0,120
E114,"Kathriguppe Circle, Phase 3, Banashankari, Bengaluru, Karnataka",0,120
E115,"PES College Road, Phase 1, Banashankari Stage I, Banashankari, Bengaluru, Karnataka, India",0,120
E116,"Devegowda petrol bunk, Gowdanapalya, Uttarahalli Hobli, Bengaluru, Karnataka, India",0,120
E117,"RNSIT, Channasandra, RR Nagar, Bengaluru, Karnataka, India",0,120
E118,"Kathriguppe Circle, Phase 3, Banashankari, Bengaluru, Karnataka",0,120
E119,"PES College Road, Phase 1, Banashankari Stage I, Banashankari, Bengaluru, Karnataka, India",0,120
E120,"Devegowda petrol bunk, Gowdanapalya, Uttarahalli Hobli, Bengaluru, Karnataka, India",0,120
,,,
BUS No.,Bus Capacity,,
v1,20,,
v2,20,,
v3,20,,
v4,20,,
v5,20,,
v6,20,,
v7,20,,
v8,20,,
v9,20,,
v10,20,,
v11,20,,
v12,20,,
v13,20,,
v14,20,,
v15,20,,
v16,20,,
v17,20,,
v18,20,,
v19,20,,
v20,20,,
,,,
END POINT,LOCATION,,
Office1,"Yelachenahalli Metro Station, Kanakapura Road, Jarganahalli, Yelachenahalli, Kumaraswamy Layout, Bengaluru, Karnataka",,
Office2,"42, Bidadi Industrial area, 2nd Phase, Sector II, Bidadi Hobli, Ramanagara Taluk, Gollara Palya, Karnataka 562109",,
